Название компании;Рынок;Что делают;Подробное описание проекта; Выручка (млн);Стадия;Международный трекшн ;Полезные ссылки;;;;;;;;;;;;;
Leoni;EdTech;Подбор внешкольного образования ;Сервис для подбора внешкольного образования для детей;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Headz;HrTech;Подбор разработчиков ;"Платформa быстрого подбора проверенных
разработчиков ";До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Fiatum;Web3;Банк криптовалют ;Криптовалютный банк;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
TIADAR;Gaming;Игра;Многопользовательская онлайн-игра;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
AdaptEd;EdTech;Повышение эффективности обучения ;Повышение эффективности обучения офлайн и онлайн;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Enjoy Box;FoodTech;Доставка продуктво;Доставка рационов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
AI Disraeli CopyWriting;AI;Копирайтинг ИИ;Копирайтинг с помощью искусственного интеллекта;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
ЕдуЕм;FoodTech;Доставка еды в поезда;Доставка еды в поезда;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Paycon Delivery;FoodTech;Сборка заказов для дарк стор;Оборудование для сборки заказов дарксторов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Vivigle;Web3;Аналитика для криптовалют ;"Глобальная аналитическая
и рейтиновая платформа
для криптовалют";До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Muver;Business Software;Повышение эффективности работы;Повышение эффективности работы таксистов в агрегаторах;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Мой девайс;WorkTech;Подписка на девайсы;Сервис подписки на девайсы для B2B;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
DarallPro;Business Software;Платформа для досатвки ;IT-платформа для доставки;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Pro Control;Consumer Goods & Services;Метка для товаров;Некопируемая метка для товаров;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Ninetales;Consumer Goods & Services;Редактор;Графический редактор;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Success Rockets;Aero & SpaceTech;Частная космическая авиация;Частная космическая авиация;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
PizzaBot;FoodTech;Роботизированная пиццерия;Роботизированная пиццерия;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
SmartAn;FinTech;Платформа для оценки финансового положения малого бизнеса;Платформа для оценки финансового положения малого бизнеса;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
SelfExpert;EdTech;Консультации по уникальной карьерной траектории;Консультации по уникальной карьерной траектории;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
MamaPro;MedTech;Мобильное приложение для беременных и мам;Мобильное приложение для беременных и мам;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Pooling;Transport & Logistics;Онлайн-платформа для оптимизации стоимости доставки;Онлайн-платформа для оптимизации стоимости доставки;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Aitox;WorkTech;Биржа для фрилансеров;Биржа для фрилансеров;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Wowcube;EdTech;Кубик Рубика с дисплеями;Кубик Рубика с дисплеями;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Busmanity;Transport & Logistics;Маркетплейс автобусных поездок;Маркетплейс автобусных поездок;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Подбор;HrTech;Сервис для поиска IT специалистов;Сервис для поиска IT специалистов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Hello Move;Legal & RegTech;Сервис по переезду зарубеж;Сервис по переезду зарубеж;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
tutgood;EdTech;Подписка на репетиторов;Подписка на репетиторов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Взнания;EdTech;Платформа для изучения иностранных слов;Платформа для изучения иностранных слов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Tensy;EdTech;Наставники по домашним заданиям и индивидуальные мини-уроки;Наставники по домашним заданиям и индивидуальные мини-уроки;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Izidz;EdTech;Сервис по помощи в решении домашних заданий;Сервис по помощи в решении домашних заданий;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
SoQoL;Business Software;Инновационная СУБД;Инновационная СУБД;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Zinpa;Travel;Контент для трэвел;Контент для трэвел;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Talanty;HrTech;Сервис по поиску работы через поиск талантов;Сервис по поиску работы через поиск талантов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
inapp;Legal & RegTech;Сервис страхования жилья;Сервис страхования жилья;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
YouTool;PropTech;Маркетплейс строительной техники;Маркетплейс строительной техники;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
medrabotnik.online;EdTech;Обучение мед персонала;Обучение мед персонала;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Трастрент;FinTech;Маркетплейс сервисов и решений для аренды недвижимости;Маркетплейс сервисов и решений для аренды недвижимости;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Magic Kids;EdTech;Интерактивное обучение через AR и VR;Интерактивное обучение через AR и VR;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Финансист;FinTech;Финансовый помощник для среднего бизнеса;Финансовый помощник для среднего бизнеса;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Instateka;FinTech;Агрегатор ипотечных кредитов для риэлторов;Агрегатор ипотечных кредитов для риэлторов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
JetLend;FinTech;Онлайн-кредит для бизнеса от частных инвесторов;Онлайн-кредит для бизнеса от частных инвесторов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
XO Analytics;Business Intelligence;Сервис для поиска точек роста для компаний;Сервис для поиска точек роста для компаний;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Educate Online;EdTech;Агрегатор онлайн-школ для детей заграницей;Агрегатор онлайн-школ для детей заграницей;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Geo Wow;PropTech;Сервис по поиску помещений для прибыли;Сервис по поиску помещений для прибыли;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
RentRide;PropTech;Сервис каршеринга ;Сервис каршеринга ;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Buddy.ai;EdTech;Обучение английскому языку через диалоги;Обучение английскому языку через диалоги;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Meleton;EdTech;Платформа для создания онлайн-курсов;Платформа для создания онлайн-курсов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
UMA;Advertising & Marketing;CPA платформа для блогеров;CPA платформа для блогеров;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Карусель;;Кикшеринг;Кикшеринг;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Cyberdrone;PropTech;Всепогодный беспилотник;Всепогодный беспилотник;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Enabla;EdTech;Цифровизация курсов для университетов;Цифровизация курсов для университетов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
;PropTech;;;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Читания;EdTech;Мобильное приложение по обучению чтению детей;Мобильное приложение по обучению чтению детей;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Barabook;EdTech;Карточки для обучения;Карточки для обучения;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
DigEd;EdTech;Платформа организации образовательных курсов для детей;Платформа организации образовательных курсов для детей;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Cosmovisa;FinTech;Сервис по возврату средств от мошенников;Сервис по возврату средств от мошенников;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
BankCreditCard;FinTech;Маркетплейс кредитных карт;Маркетплейс кредитных карт;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
E-tiketka;FinTech;White label платформа товарного маркетплейса для банков.;White label платформа товарного маркетплейса для банков.;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
VOLTS;Energy;Производство накопителя электроэнергии;Производство накопителя электроэнергии;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Adapty;Business Intelligence;Аналитика для мобильных приложений;Аналитика для мобильных приложений;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Wundershild;AI;Сервис по расследованию финансовых преступлений;Сервис по расследованию финансовых преступлений;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Realty Cloud;AI;Скоринг недвижимости на юридические риски;Скоринг недвижимости на юридические риски;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Sovtes;Transport & Logistics;Снижение затрат корпораций на логистику;Снижение затрат корпораций на логистику;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Refin.online;FinTech;Управление ипотекой;Управление ипотекой;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
TAG;FinTech;Цифровой банк;Цифровой банк;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Puzzle English;EdTech;Сервис для изучения английского языка;Сервис для изучения английского языка;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
B2BTRADE;;FCMG оптовый маркетплейс;FCMG оптовый маркетплейс;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Finpanda;FinTech;Платформа для выпуска и торговли деривативами на Telegram каналы;Платформа для выпуска и торговли деривативами на Telegram каналы;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
FinMV;FinTech;No Code решения для fintech компаний;No Code решения для fintech компаний;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Податьвсуд;Legal & RegTech;Портал для подачи документов в суд онлайн;Портал для подачи документов в суд онлайн;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Клауддокс;MedTech;Плафторма для хранения медицинских данных;Плафторма для хранения медицинских данных;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
VILKA;FoodTech;Цифровой официант для ресторанов и кафе;Цифровой официант для ресторанов и кафе;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Tasty club;FoodTech;Агрегатор скидок от ресторанов;Агрегатор скидок от ресторанов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Online Patent;Legal & RegTech;Сервис для регистрации авторского права;Сервис для регистрации авторского права;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
exeDrive;Advertising & Marketing;Сервис повышения эффективности маркетологов;Сервис повышения эффективности маркетологов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Flyvi;Advertising & Marketing;Сервис для создания и публикации сторис на сайте;Сервис для создания и публикации сторис на сайте;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Happy Nappy;EdTech;Обучение детей в группах;Обучение детей в группах;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
MaxBonus;Advertising & Marketing;Сервис для увеличения лояльности покупателей в розничных магазинах;Сервис для увеличения лояльности покупателей в розничных магазинах;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
СНТклуб;PropTech;Сервис для председателей и садоводов СНТ;Сервис для председателей и садоводов СНТ;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Russia.Study;EdTech;Маркетплейс российского образования для иностранных студентов;Маркетплейс российского образования для иностранных студентов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
GoBuild;PropTech;Ускоритель стройки, приложение для замерщиков, прорабов и строительных компаний;Ускоритель стройки, приложение для замерщиков, прорабов и строительных компаний;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
ConnectedHome;PropTech;Система защиты дома;Система защиты дома;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Oyster;EdTech;Умные наборы по профессиям для детей;Умные наборы по профессиям для детей;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Naser Light;PropTech;LLAC лампа. Новый вид лампы с расходами в 2 раза ниже;LLAC лампа. Новый вид лампы с расходами в 2 раза ниже;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Arctic;GreenTech;Баннеры на основе солнечной энергии;Баннеры на основе солнечной энергии;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Smart Wi-Fi;Advertising & Marketing;Функционал для точечного пуш-маркетинга в ритейле;Функционал для точечного пуш-маркетинга в ритейле;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Реалист;Advertising & Marketing;;;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Varezhka;Advertising & Marketing;Автопостинг в социальных сетях;Автопостинг в социальных сетях;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
SWiP;Advertising & Marketing;;;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Delegator24;WorkTech;Удаленные сотрудники по подписке;Удаленные сотрудники по подписке;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
anywash;PropTech;Обслуживание корпоративных автомобилей в одном сервисе;Обслуживание корпоративных автомобилей в одном сервисе;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
InspectorCloud;RetailTech;Система распознавания товаров - для контроля полевого персонала;Система распознавания товаров - для контроля полевого персонала;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Bosskids;EdTech;Онлайн-школа финансвой грамотности для дейтей 3-17 лет;Онлайн-школа финансвой грамотности для дейтей 3-17 лет;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
LogicLike;EdTech;Онлайн-школа дистанционного образования для детей;Онлайн-школа дистанционного образования для детей;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
MindSet;EdTech;Онлайн-школа математики;Онлайн-школа математики;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Onollo;E-commerce;Сервис управления социальными сетями для интернет-магазинов;Сервис управления социальными сетями для интернет-магазинов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Loqstoq;E-commerce;Платформа по управлению рекламой для продавцов на маркетплейсах.;Платформа по управлению рекламой для продавцов на маркетплейсах.;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
yous.ai;AI;Веб-приложение для аудио/видео звонков со встроенным переводчиком на базе AI.;Веб-приложение для аудио/видео звонков со встроенным переводчиком на базе AI.;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
AppstoreSpy;Business Intelligence;Сервис для аналитики мобильных приложений;Сервис для аналитики мобильных приложений;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Zipsale;E-commerce;Сервис для автоматизации продаж секондхенда на маркетплейсах;Сервис для автоматизации продаж секондхенда на маркетплейсах;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Carusel;Transport & Logistics;Сервис кикшеринга;Сервис кикшеринга;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Marketguru;E-commerce;Сервис аналитики WB/Ozon;Сервис аналитики WB/Ozon;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Karpov Courses;EdTech;Онлайн-школа хард-скиллов;Онлайн-школа хард-скиллов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Joys;FinTech;Сервис для оплаты по QR-кодам;Сервис для оплаты по QR-кодам;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Everytale;Media & Entertainment;Сервис для проведения онлайн-мероприятий;Сервис для проведения онлайн-мероприятий;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
imin;Advertising & Marketing;Конструктор видеоконтента для социальных сетей;Конструктор видеоконтента для социальных сетей;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
ARS Smart Robotics;FoodTech;Система автоматизации для дарксторов;Система автоматизации для дарксторов;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Proaction;HrTech;Онлайн-сервис микротестирования кандидатов и сотрудников;Онлайн-сервис микротестирования кандидатов и сотрудников;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Univertus;Transport & Logistics;;Univertus – интеллектуальная система построения цифрового двойника сотрудника для повышения эффективности управления персоналом с применением технологий ML и AI.;До 100 млн.руб;Pre-seed;Нет;https://univertus.ru/;;;;;;;;;;;;;
HCM by TalentTech;Transport & Logistics;;Экосистема для управления персоналом и развития талантов. Интеллектуальная Human Capital Management (HCM) платформа от TalentTech поможет выявить сильные стороны сотрудников и подскажет, какие таланты стоит развивать, чтобы расти быстрее и работать эффективнее.;До 100 млн.руб;Pre-seed;Нет;https://talenttech.ru/hcm_by_talenttech/;;;;;;;;;;;;;
ССТ;Transport & Logistics;;"SST АСА - SCADA-система с удалённым SoftLogic программированием контроллеров, Industrial IoT и предиктивной аналитикой на основе машинного обученияПроект позволяет прогнозировать и предупреждать возникновение аварийных ситуаций, обеспечение быстрой и адекватной реакции на возникшие аварийные ситуации

";До 100 млн.руб;Pre-seed;Нет;https://sst.ru.com/;;;;;;;;;;;;;
НВИАЙ РЕСЕРЧ;Transport & Logistics;;Система искусственного зрительного интеллекта для предупреждения нарушений и контроля безопасности на крупных предприятиях. В проекте разрабатывается комплекс продуктов, автоматизирующих контроль промышленной безопасности и безопасности труда. В него входят системы интеллектуальной видеоаналитики, нейросетевого распознавания идентификаторов и понимания документов, прогнозирования аварийных ситуаций, интегрируемые в единый ситуационно-аналитический центр. ;До 100 млн.руб;Pre-seed;Нет;https://nvi-solutions.ru/;;;;;;;;;;;;;
ОКО МОНИТОРИНГ;Transport & Logistics;;Универсальный контроллер транспортной телематики, выполняющий функции свыше четырёх отдельных устройств автоэлектроники: навигационного трекера, контроллера телеметрии, двухканального видеорегистратора, сенсора контроля бдительности водителя и онлайн-кабинета для управления автопарком. Не требует продвинутых ИТ-компетенций для внедрения и предназначен для быстрого развёртывания в малых и средних автопарках.;До 100 млн.руб;Pre-seed;Нет;https://oko-monitoring.ru/;;;;;;;;;;;;;
ТЕОРЕМА;Transport & Logistics;;"Компания ""ТЕОРЕМА"" решает проблему исключения человеческого фактора в управлении транспортом, цифровизации всех сервисов вокруг транспорта ""виртуальный транспортный оператор"". Рассматривается применение Искусственного Интеллекта в принятии решений по управлению транспортом. Данная система решит текущие проблемы в управлении транспортом (контроль топлива, замена транспорта, ремонты, страхование, маршрутизация), так и решит будущие проблемы в управлении беспилотным транспортом, т.к. проектируется для машин, а не людей. Потребителями системы являются автотранспортные предприятия и предприятия, которые эксплуатируют различный транспорт. Новая платформа представит собой высокотехнологичную, устойчивую к нагрузкам систему, которая консолидирует и обрабатывает данные от транспорта.";До 100 млн.руб;Pre-seed;Нет;https://tetron.ru/;;;;;;;;;;;;;
"МЕТРИКА
";Transport & Logistics;;"Компания “МЕТРИКА”  заявила о себе на рынке систем спутникового мониторинга транспорта в 2010 году. Команда профессиональных IT-программистов и разработчиков совместно с группой инженеров радиоэлектронного производства предложила эффективную и доступную по цене систему спутникового мониторинга.
Было организовано собственное производство оборудования, создана служба технической поддержки, которая на сегодняшний день обеспечивает высокий уровень предоставляемого сервиса.";До 100 млн.руб;Pre-seed;Нет;https://monpro.org/o-kompanii;;;;;;;;;;;;;
АВТОТРЕКЕР;Transport & Logistics;;"Zavgar Online – облачный сервис управления транспортными средствами. Его ключевые задачи – это оцифровка процесса эксплуатации автопарка, своевременное определение аномалий и управление не на ощущениях, а на цифрах. Элементы системы: FMS; приложение для водителя; навигационное оборудование; модуль интеграции и API.";До 100 млн.руб;Pre-seed;Нет;https://zavgar.online/;;;;;;;;;;;;;
АКЦЕПТУМ;Transport & Logistics;;EVA PRO - новое поколение аппаратных устройств и самообучающегося ПО для увеличения эффективности эксплуатации ТС и предвидения поломок и остановки ТС. Система основывается на сборе информации от штатных датчиков на ТС, модулей, установленных в колесах, и стационарных систем инспекции. Анализ данных происходит в соответствии с рекомендациями изготовителей ТС, что позволит парку максимально эффективно использовать ТС, сократив себестоимость эксплуатации ТС, а также его воздействие на экологию.;До 100 млн.руб;Pre-seed;Нет;https://tpms-eva.ru/;;;;;;;;;;;;;
Evocargo;Transport & Logistics;;Компания разрабатывает и внедряет логистические вертикально-интегрированные сервисы с использованием электрического беспилотного транспорта собственного производства. Разработан электрический автономный грузовик с возможностью заправки водородом.;До 100 млн.руб;Pre-seed;Нет;https://evocargo.com/;;;;;;;;;;;;;
Бейстрек Рус/ Энерготрак;Transport & Logistics;;Разработчик технологий беспилотных автомобилей, способных перемещаться по любому рельефу в любых погодных условиях (снег, лет). В основе решений – технология «виртуальных рельс», содержащая алгоритмы оптимального вождения и интеллектуальную систему ADAS, которая сканирует земную поверхность и навигирует автомобиль с учетом его параметров, погодных условий и транспортных задач.;До 100 млн.руб;Pre-seed;Нет;https://www.basetrack.net/;;;;;;;;;;;;;
"CSIRA Self-Driving Platform

";Transport & Logistics;;"CSIRA VISION SDP - интеллектуальный модуль, который анализирует с помощью видеокамер состояние водителя, окружающую дорожную обстановку и оповещает об опасной ситуации. Сердцем системы является отечественная разработка на основе нейронных сетей и алгоритмов машинного обучения, сочетающая инновационный подход и современный технологии.

Применение Системы предотвращения ДТП CSIRA VISION SDP позволит сократить количество ремонтов транспортных средств, их простоя, повысить дисциплину и безопасность водителей, и, как следствие, оптимизировать расходы, связанные с эксплуатацией транспортных средств.";До 100 млн.руб;Pre-seed;Нет;https://csira.ru/;;;;;;;;;;;;;
ANTOR;Transport & Logistics;;Онлайн-платформа для помощи предприятиям среднего и крупного бизнеса эффективно доставлять товары покупателям, контролировать транспортный парк, управлять торговыми представителями и другими мобильными сотрудниками: водителями, курьерами, сервисными инженерами. ANTOR TeamMaster™ передает оптимизированные планы доставки на мобильные устройства исполнителей, позволяя им при необходимости корректировать маршруты с учетом текущей загруженности дорог.;До 100 млн.руб;Pre-seed;Нет;https://www.antor.ru/about/;;;;;;;;;;;;;
C-Cars;Transport & Logistics;;IT-компания с фокусом на решения для автомобильной отрасли. Разрабатывает информационную систему, которая позволит объединить всех участников автомобильного рынка и всех отраслей, связанных с автомобилями и другими транспортными средствами, осуществлять обмен данными между ними. Единый инструмент для управления автопарком, связи с клиентами, обработки запросов. ;До 100 млн.руб;Pre-seed;Нет;https://c-cars.tech/;;;;;;;;;;;;;
"SKIF.PRO
";Transport & Logistics;;Платформа для мониторинга, диспетчеризации и контроля транспорта.;До 100 млн.руб;Pre-seed;Нет;https://skif.pro/;;;;;;;;;;;;;
Группа Т-1, АО;Transport & Logistics;;"Системы мониторинга и управления стационарными и подвижными объектами. Позволяют создать контролируемый центр движения автомобилей. Представляют интегратор нескольких систем в одну с предоставлением аналитики.  
";До 100 млн.руб;Pre-seed;Нет;https://www.t1-group.ru/;;;;;;;;;;;;;
"ИТОРУМ ЭМ АР
";Transport & Logistics;;"Платформа совместной работы с техническим оборудованием. 
Узнать подробнееItorum MR для работы технических специалистов на производстве и удаленных экспертов через очки дополненной реальности.";До 100 млн.руб;Pre-seed;Нет;https://itorummr.ru/;;;;;;;;;;;;;
"VR CONCEPT
";Transport & Logistics;;Компания создает программное обеспечение для работы с цифровыми двойниками и 3D-моделями: приложение виртуального прототипирования для коллективной работы с цифровыми двойниками в виртуальной реальности. VR-concept -коробочное решение, которое интегрируется в другие системы и не требует от пользователя специальных знаний и навыков программирования.;До 100 млн.руб;Pre-seed;Нет;https://vrconcept.net/applications/construction/;;;;;;;;;;;;;
СиДиСи ;Transport & Logistics;;"Программное обеспечение группы компаний СиДиСи предназначено для автоматизации таких бизнес-процессов, как техническое обслуживание и ремонт оборудования (ТОиР), мониторинг промышленного оборудования и основных производственных активов предприятия, распознавание и анализ объектов в торговле и промышленности с помощью искусственного интеллекта (машинного зрения). 
Система обеспечивает контроль датчиков в режиме онлайн, установленных на промышленном оборудовании, которое требует постоянного мониторинга для снижения простоев и поломок. Данные датчиков передаются на мобильные устройства и стационарные компьютеры ответственных лиц и позволяют оперативно реагировать на нештатные ситуации.";До 100 млн.руб;Pre-seed;Нет;https://www.cdc.ru/;;;;;;;;;;;;;
Damoov;Transport & Logistics;;Компания занимается разработкой собственной мобильной SDK для сбора, анализа и обработки телематических и GPS данных с мобильных устройств и различных сенсоров с последующей обработкой этих данных собственной телематической платформой. Решения компании предназначены для разработчиков продуктов в сфере транспорта и мобильности (например, систем мониторинга стиля вождения, состояния автотранспорта).;До 100 млн.руб;Pre-seed;Нет;https://www.damoov.com/;;;;;;;;;;;;;
ISG neuro;Transport & Logistics;;"
Интеллектуальная система прогноза аварий и отказов. Оптимизация затрат на поддержание эсплуатационной готовности сложных технических систем за счет прогнозирования безаварийной работы и динамического расчета надежности системы с учетом изменений внешних условий.";До 100 млн.руб;Pre-seed;Нет;https://isgneuro.ru/;;;;;;;;;;;;;
UBI Technologies;Transport & Logistics;;Разработчик решения, которое позволяет анализировать и оценивать качество вождения и вероятность возникновения ДТП, а в момент аварии моментально узнавать о повреждениях.;До 100 млн.руб;Pre-seed;Нет;https://ubitec.ru/;;;;;;;;;;;;;
Рэнера ;Transport & Logistics;;Поставляет электронный транспорт и переоборудует специтехнику под электрическую. ;До 100 млн.руб;Pre-seed;Нет;https://renera.ru/production/special-equipment/;;;;;;;;;;;;;
Starline ;Transport & Logistics;;Компания создаёт цифровую модель автомагистрали и оснащает грузовик оборудованием, которое решит задачи локализации автомобиля в пространстве, распознавания объектов и построения маршрутов движения. ;До 100 млн.руб;Pre-seed;Нет;https://smartcar.starline.ru/;;;;;;;;;;;;;
Линза;Transport & Logistics;;Видео-регистратор с голосовым помощником. Способен опознать и маркировать время аварии. способен опознать столкновения автомобиля и предупредить водителя. ;До 100 млн.руб;Pre-seed;Нет;https://notanotherone.com/en/#stationary-feedback;;;;;;;;;;;;;
Даталитика ;Transport & Logistics;;"DATALYTICA — это команда профессионалов в области аналитики, больших данных, разработки программного обеспечения, машинного обучения и искусственного интеллекта.
Каждый день мы решаем бизнес-задачи известных брендов и крупных международных компаний по повышению продаж, сокращению издержек и управлению рисками.

Компания поставляет продукт ""Предективная аналитика поломки техники"". Предиктивная модель отвечает на два вопроса: что сломается и когда сломается. Прогнозирование отказов оборудования осуществляется как на основе накопленных данных, так и данных, поступающих в режиме реального времени. 
";До 100 млн.руб;Pre-seed;Нет;https://datalytica.ru/fault_prediction;;;;;;;;;;;;;
Проект А;Transport & Logistics;;Компания занимается разработкой оборудования и программного обеспечения для автоматизации, мониторинга и увеличения эффективности транспорта. Решения компании позволяют контролировать местоположение транспорта, отслеживать его состояние, управлять логистикой и регламентным обслуживанием, устанавливать системы видеорегистрации и видеоаналитики.;До 100 млн.руб;Pre-seed;Нет;https://prk-a.ru/;;;;;;;;;;;;;
